concept 1,concept 2,language weight,similarity
hear,feel,23,0.25778620097242344
meal,dinner,23,0.5080974553807187
wound,scar,23,0.3878219368632841
light,day,23,0.10602202184017355
granddaughter,nephew,23,0.4332489141077338
fight,battle,22,0.5264709343463316
mainland,land,22,0.2637933710867082
try,check,22,0.07420814901174691
garbage,dirt,22,0.40807923218563635
slow,silence,22,0.12606432659110647
hard,difficult,22,0.35900494386587994
my,our,22,0.32238929546219186
skirt,dress,22,0.40045964034860676
statue,idol,22,0.2654844222907301
cut,split,22,0.32098644992310676
baby,child,22,0.585517743848199
hot,heat,22,0.41964197499665734
hear,smell,22,0.2215495237025248
small,shallow,22,0.17915299197031226
change,turn,22,0.19434387344614953
cooked,cook,22,0.3679888420353751
worm,snake,22,0.33141060168538466
hold,own,22,0.19126128279415325
fish,five,22,0.03422387300341054
part,half,22,0.09226371535432
dark,obscure,22,0.23865547784980407
i,eat,22,0.25734960430921205
guess,seem,22,0.19310609187553018
early,soon,22,0.13501212396537463
skull,head,22,0.2251166469791676
white,light,22,0.25234982401428036
sheep,lamb,22,0.3391083493574215
ripe,ripen,22,0.3562706690455467
bee,wasp,22,0.31720665642817975
sheep,goat,22,0.4759824338986481
people,clan,22,0.08950428825191269
plant,tree,21,0.42910090515903476
sway,swing,21,0.1380695413599606
cousin,sister,21,0.5827461610538974
village,country,21,0.30485465007420715
fall,drop,21,0.2981971353288583
keep,guard,21,0.23742287906101558
message,news,21,0.3296615721293642
smell,sniff,21,0.28558980677700946
good,healthy,21,0.17203794597640792
daughter,woman,21,0.3514129805500047
many,enough,21,0.08865799581020446
flow,float,21,0.3233708777441494
straight,smooth,21,0.303630214115228
darkness,hit,21,0.020522654196954947
white,silver,21,0.2573478368158578
husband,male,21,0.11393367652140815
split,tear,21,0.041276872764642786
flat,straight,21,0.28968129634610396
red,yellow,21,0.544710930674613
plain,flat,21,0.2979194452087207
twist,squeeze,21,0.06928569975885221
seize,get,21,0.17674460811363696
ask,pray,21,0.5195000497860104
penis,tail,21,0.2558304562953978
aunt,uncle,21,0.5401003733226085
sand,shore,21,0.2655382433430141
speak,word,20,0.43315446092760623
sky,weather,20,0.32343181789915226
have,hold,20,0.04746890561235929
grandson,niece,20,0.4112485588004671
fish,meat,20,0.5033052194987268
shine,bright,20,0.32132374959940413
round,ball,20,0.26779872619573936
husband,male,20,0.11393367652140815
smell,stinking,20,0.26113618722100496
big,tall,20,0.3021803177431052
stick,wood,20,0.23267072947886117
early,fast,20,0.08574760575643531
voice,throat,20,0.18792492825793808
low,shallow,20,0.15353542800405218
pain,wound,20,0.24907354080777622
pain,disease,20,0.28517944241373144
voice,shout,20,0.3731016510642727
year,summer,20,0.4092545545274934
flock,swarm,20,0.239969694684986
wing,fin,20,0.28361944432862485
spin,weave,20,0.4837198895239765
big,loud,20,0.21686421491395683
fur,skin,20,0.24081269983086243
remember,think,20,0.4760293061947596
condemn,blame,20,0.3353072932213049
paddle,spade,20,0.2878639583734632
always,often,20,0.3373077902611839
teach,explain,20,0.2285772387510416
turn,roll,20,0.16936287316144275
small,child,20,0.026916221850908882
meat,animal,20,0.2457288091189818
clean,clear,20,0.2523505228672022
join,connect,20,0.17042355499211712
face,forehead,20,0.4562242195572127
hand,finger,20,0.45677527651194433
happy,like,20,0.08352092616275106
lunch,dinner,20,0.6175770346029059
kill,slaughter,20,0.27557891323497846
blunt,blind,20,0.007291963289637189
soft,weak,20,0.16049226624513319
side,beside,20,0.31032069308390836
soft,smooth,20,0.36250424230537154
name,eye,20,0.005229720127619983
seed,stone,20,0.13681821096437372
uncle,brother,19,0.5736904945621393
fireplace,oven,19,0.2614130569428897
float,row,19,0.10069669403185674
suck,pull,19,0.15791152926797733
fast,hurry,19,0.20325365015920302
boar,sow,19,0.22148923491166986
sick,disease,19,0.11881219440527375
bake,fry,19,0.2800712059589326
understand,listen,19,0.21503413349156003
sing,song,19,0.526822839179644
teach,read,19,0.3278977932130267
soul,mind,19,0.4437042826995237
only,alone,19,0.30316257728627766
baby,boy,19,0.5014602019292871
get,catch,19,0.40819273561864605
cook,burn,19,0.14155215607694885
acorn,oak,19,0.41284071390259097
grain,rice,19,0.38094996497815803
plain,valley,19,0.30124259976406376
we,eat,19,0.18842718614207973
lead,drive,19,0.2010240899940489
seed,heavy,19,0.041409588348101656
wrap,fold,19,0.18796438421222034
divide,split,19,0.29371520018707525
crab,snail,19,0.25861363781374996
emerge,visible,19,0.16668150075825713
shelf,board,19,0.1082428898105164
early,three,19,0.09764242842176284
tree,post,19,0.020187954422121002
girl,child,19,0.56995204830732
last,end,19,0.3273025463920323
lock,latch,19,0.34733677950845604
pound,crush,19,0.10255552537284136
arrive,get,19,0.3058830858518146
wife,female,19,0.18312205980139235
sink,drowned,19,0.2616348486811572
thin,lean,19,0.3071522436385624
edge,mouth,19,0.1754707202838541
what,why,19,0.3947863205557805
light,burning,18,0.23667056603818248
day,weather,18,0.17842290849017
earth,place,18,0.1529320601518887
quarrel,battle,18,0.21858553349449197
road,street,18,0.44277189030292097
order,govern,18,0.16815729273046118
cut,fell,18,0.11728835770801385
push,press,18,0.18915972174041185
inside,at,18,0.03769148263501759
carry,get,18,0.26114584105939126
back,spine,18,0.15256767620007533
face,cheek,18,0.4558995727785118
crouch,sit,18,0.22123838222804088
last,end,18,0.3273025463920323
similar,seem,18,0.14187656937110033
expensive,precious,18,0.14468806739949336
ripe,yellow,18,0.17100396357313183
bag,pouch,18,0.44876561729183184
belt,strap,18,0.3803372099757822
rabbit,hare,18,0.4076428632427548
blood,night,18,0.0071359486994384555
grind,squeeze,18,0.17794896363373047
sausage,intestines,18,0.1711448264824458
edge,boundary,18,0.29096607146692
horn,corner,18,0.10532539605379079
relatives,clan,18,0.23400532072993593
alcohol,beer,18,0.27976474241493976
grandson,grandchild,18,0.2708926803026927
silver,coin,18,0.5170506087548304
give,put,18,0.20376012703522736
i,me,18,0.46742040038281285
keep,defend,18,0.20807406578745125
word,letter,18,0.2296395845146564
island,world,18,0.08033502284903106
board,table,18,0.17713424369261901
more,crowd,18,0.041097107673854515
bake,boil,18,0.4394506476882248
bite,gnaw,18,0.37350212626418267
bury,hide,18,0.2242854702796108
late,slow,18,0.02082225236280761
buttocks,bottom,18,0.14623478783742747
