euclidean distance,concept1,concept2
4.904080867767334,hard,difficult
4.9060492515563965,wash,rinse
4.9060492515563965,wash,rinse
4.906878471374512,have,yes
4.909442901611328,hear,understand
4.910447597503662,if,after
4.91206693649292,and,instead
4.912227153778076,black,grey
4.913050651550293,blue,black
4.9138922691345215,mother-in-law,son-in-law
4.9138922691345215,mother-in-law,son-in-law
4.9138922691345215,mother-in-law,son-in-law
4.9138922691345215,son-in-law,mother-in-law
4.91476583480835,who,someone
4.914971351623535,know,difficult
4.917099952697754,leave,do
4.917735576629639,groan,shriek
4.917996406555176,give,their
4.9195404052734375,wrong,fault
4.920835018157959,feel,admit
4.9210405349731445,people,we
4.921508312225342,murder,crime
4.923534870147705,fall,drop
4.923534870147705,fall,drop
4.924229145050049,give,and
4.925628662109375,bad,ugly
4.927663803100586,small,one
4.927915573120117,no,yes
4.9297027587890625,again,ask
4.929846286773682,many,ten
4.930357456207275,widower,widow
4.931454181671143,wife,grandmother
4.937718868255615,come,this
4.939106464385986,go,enter
4.940032005310059,look,understand
4.940295696258545,many,five
4.942990303039551,because,with
4.942993640899658,seven,hundred
4.944641590118408,prisoner,prison
4.945352077484131,food,meal
4.945789337158203,enough,often
4.9488067626953125,thunder,roar
4.948976516723633,my,your
4.948976516723633,my,your
4.949408531188965,many,rest
4.9518561363220215,big,one
4.954715251922607,fall,break
4.954784393310547,big,enough
4.957411289215088,bad,sick
4.958272457122803,leg,thigh
4.958419322967529,that,she
4.95890474319458,straight,right
4.959116458892822,put,cut
4.95974063873291,outside,back
4.961246967315674,short,few
4.96207332611084,cooked,cook
4.962275505065918,thought,meaning
4.962404251098633,refuse,forbid
4.962980270385742,how,which
4.9630584716796875,until,back
4.966681957244873,and,behind
4.967048645019531,good,and
4.968390464782715,doubt,suspect
4.968879222869873,leave,left
4.9690632820129395,mare,foal
4.970915794372559,give,stand
4.9713521003723145,hold,there
4.971780776977539,push,want
4.975501537322998,whale,shark
4.97568941116333,faeces,excreta
4.976036071777344,get,change
4.9764723777771,give,hear
4.976935863494873,bad,hate
4.976973533630371,mind,intention
4.978586673736572,send,give
4.978731632232666,near,close
4.982549667358398,yes,me
4.983297824859619,wet,damp
4.984970569610596,this,me
4.985719203948975,bad,difficult
4.986969947814941,fault,mistake
4.988626956939697,they,this
4.990313529968262,seven,seventy
4.991042613983154,bright,light
4.991042613983154,bright,light
4.991042613983154,bright,light
4.991042613983154,light,bright
4.991138935089111,corpse,dead
4.991832256317139,calm,quiet
4.992325782775879,side,right
4.993599891662598,which,you
4.99387264251709,inside,up
5.002187252044678,leave,follow
5.00328254699707,turn,do
5.005620956420898,choose,try
5.007537841796875,get,catch
5.008285999298096,borrow,owe
5.009920597076416,good,where
5.0121355056762695,try,pull
5.012315273284912,wife,daughter-in-law
5.013696193695068,sit,want
5.014405727386475,right,correct
5.014552593231201,more,often
5.016624450683594,come,hear
5.0168561935424805,get,answer
5.017959117889404,imitate,resemble
5.018917560577393,thing,work
5.021811485290527,carry,put
5.022096633911133,see,feel
5.023304462432861,twice,two
5.023656368255615,top,up
5.0238142013549805,one,friend
5.025290012359619,long,many
5.026920795440674,drink,beverage
5.0270185470581055,knock,beat
5.028895378112793,part,see
5.029273986816406,come,arrive
5.029959678649902,flee,escape
5.03102445602417,get,learn
5.0313334465026855,that,set
5.03267765045166,small,some
5.033663272857666,dolphin,shark
5.033681869506836,time,year
5.033890724182129,throw,pull
5.035886764526367,bury,dig
5.038919448852539,try,check
5.038949012756348,tired,lazy
5.039011478424072,do,use
5.040001392364502,have,remain
5.044433116912842,true,yes
5.045315742492676,sit,wait
5.046171188354492,fault,blame
5.046527862548828,leave,refuse
5.046717166900635,leave,enter
5.047497272491455,your,their
5.047497272491455,your,their
5.051903247833252,get,choose
5.052936553955078,pain,ache
5.053183555603027,forgive,forget
5.055907726287842,push,squeeze
5.058534145355225,person,not
5.058778762817383,come,become
5.062499523162842,goose,duck
5.062560558319092,court,judge
5.0644073486328125,do,work
5.0644073486328125,work,do
5.0664963722229,all,end
5.068159103393555,hold,break
5.070572376251221,say,no
5.071801662445068,early,before
5.072075366973877,big,good
5.072076320648193,hear,wait
5.073385715484619,happy,like
5.075544357299805,few,my
5.075803279876709,wrong,no
5.075866222381592,they,two
5.079657077789307,good,easy
5.08066463470459,many,four
5.080986499786377,push,get
5.081457614898682,get,full
5.082498550415039,give,yes
5.083567142486572,happy,proud
5.087252616882324,throw,put
5.087868690490723,carry,give
5.088706970214844,wrong,difficult
5.089541435241699,niece,stepson
5.089633464813232,make,produce
5.09108304977417,breakfast,dinner
5.0912885665893555,and,if
5.091687202453613,and,hand
5.092345714569092,pain,painful
5.093133449554443,where,who
5.094117641448975,go,day
5.094330310821533,give,your
5.095378875732422,brother-in-law,sister
5.097717761993408,leave,disappear
5.098024368286133,find,guess
5.100559711456299,hold,do
5.100971698760986,forgive,pity
5.101840972900391,lend,owe
5.103029727935791,come,carry
5.103988170623779,give,speak
5.104270935058594,fall,go
5.104586601257324,uncle,sister
5.1066575050354,say,promise
5.106873035430908,come,work
5.106923580169678,grief,pity
5.108322620391846,come,and
5.1093034744262695,canoe,raft
5.110127925872803,leave,try
5.110469818115234,she,it
5.110681533813477,true,be
5.112431049346924,enough,full
5.113251209259033,get,sit
5.113370895385742,part,half
5.11379337310791,hear,feel
5.11379337310791,hear,feel
5.115782260894775,make,prepare
5.115959167480469,take,choose
5.117413520812988,now,good
5.1186065673828125,choose,pick
5.119246482849121,what,who
5.119604110717773,play,game
5.120319366455078,bottom,down
5.120416164398193,now,no
5.121232986450195,and,what
5.123719692230225,my,our
5.12395715713501,fall,they
5.124910354614258,get,hear
5.125053405761719,work,you
5.125169277191162,in,with
5.125880718231201,parents,relatives
5.12901496887207,grain,wheat
5.130451202392578,young,boy
5.132432460784912,side,behind
5.134744167327881,come,yes
5.134923934936523,song,music
5.1357245445251465,love,good
